Reference, Value, Footprint, Datasheet, manf#, Digikey, Field4, Field5, Field6, Field7, Field8, Field9, Field10, Field11
"HB51","mtg_hole_3mm","chromogram_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"HB52","mtg_hole_3mm","chromogram_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"HB53","mtg_hole_3mm","chromogram_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"HB54","mtg_hole_3mm","chromogram_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"BITE1","Mouse_Bite","chromogram_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"BITE2","Mouse_Bite","chromogram_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"BITE5","Mouse_Bite","chromogram_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"BITE6","Mouse_Bite","chromogram_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"BITE7","Mouse_Bite","chromogram_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"BITE8","Mouse_Bite","chromogram_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"BITE3","Mouse_Bite","chromogram_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"BITE4","Mouse_Bite","chromogram_libs:mouse-bite-2.54mm-slot_OSH","","mfr_pn","","","","","","","","",""
"G5","KiCad","chromogram_libs:KiCad-Logo2_6mm_SilkScreen","","Value","","","","","","","","",""
"G6","OSHW","chromogram_libs:OSHW_6mm","","Value","","","","","","","","",""
"G4","LOGO_WL","chromogram_libs:Logo-WL3","","Value","","","","","","","","",""
"R8","4K7","chromogram_libs:r_0805",""
"R6","10k","chromogram_libs:r_0805",""
"R7","10k","chromogram_libs:r_0805",""
"U130","DS3231N","chromogram_libs:DS3231",""
"R9","4K7","chromogram_libs:r_0805",""
"BT1","Batt_RTC","chromogram_libs:CR2032_SMD2","","","BU2032SM-HD-GCT-ND ","","","","","","","",""
"C22","100nF","chromogram_libs:c_0805",""
"TP1","~RST","chromogram_libs:BreakOutPad",""
"R4","1k","chromogram_libs:r_0805",""
"U131","1117-33","chromogram_libs:SOT-223-3_TabPin2","http://www.diodes.com/datasheets/AP1117.pdf","mfr_pn","","","","","","","","",""
"JP1","LED_PWR_EN","chromogram_libs:R_0402",""
"C17","10uF/25V","chromogram_libs:c_2917",""
"C18","22uF/25V","chromogram_libs:c_2917",""
"D2","LED_PWR","chromogram_libs:LED-0805","","","","LED SS 5MM 625NM RED DIFF","2V, 10mA","Round with Domed Top, 5mm, T-1 3/4","Kingbright Corp","WP7113ID","Digikey","754-1264-ND","http://www.digikey.com/product-detail/en/WP7113ID/754-1264-ND/1747663"
"U132","CP2102N-A01-GQFN28","chromogram_libs:QFN-28-1EP_5x5mm_Pitch0.5mm","http://www.silabs.com/support%20documents/technicaldocs/cp2102n-datasheet.pdf","Value","","","","","","","","",""
"P1","USB_micro","chromogram_libs:USB_Micro-B_Molex-105017-0001",""
"D3","VESD05A1B","chromogram_libs:D_LLP1006-2L",""
"D4","VESD05A1B","chromogram_libs:D_LLP1006-2L",""
"D1","1N5819","chromogram_libs:D_SOD-123",""
"C23","10uF/25V","chromogram_libs:c_2917",""
"C24","100nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"C25","10uF/25V","chromogram_libs:c_2917",""
"C26","100nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"R22","470R","chromogram_libs:r_0805","","Value","","","","","","","","",""
"R21","0R","chromogram_libs:r_0805","","Value","","","","","","","","",""
"R23","0R","chromogram_libs:r_0805","","Value","","","","","","","","",""
"R20","0R NC","chromogram_libs:r_0805","","Value","","","","","","","","",""
"R19","0R NC","chromogram_libs:r_0805","","Value","","","","","","","","",""
"R3","10k","chromogram_libs:r_0805","","Value","","","","","","","","",""
"C19","1nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"R16","470R","chromogram_libs:r_0805","","Value","","","","","","","","",""
"C20","1nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"S3","EN","chromogram_libs:SW_SMD","","Value","","","","","","","","",""
"R18","470R","chromogram_libs:r_0805","","Value","","","","","","","","",""
"C21","1nF","chromogram_libs:c_0805","","Value","","","","","","","","",""
"S4","BOOT","chromogram_libs:SW_SMD","","Value","","","","","","","","",""
"Q1","DDC114TU","chromogram_libs:SOT-363_SC-70-6","https://www.diodes.com/assets/Datasheets/ds30345.pdf"
